event_id,start_date,end_date,total_snow_cm,peak_snow_cm,duration_days,peak_complaints_day,complaints_peak,ridership_trough,recovery_days
1,2025-01-07,2025-01-11,11.6,5.2,3,5,8,-43.7,4.0
2,2025-01-16,2025-01-16,2.6,2.6,1,14,8,-31.4,7.0
3,2025-01-28,2025-01-28,5.2,5.2,1,2,8,-53.4,13.0
4,2025-02-06,2025-02-16,69.6,17.0,7,7,50,-97.6,
5,2025-02-27,2025-02-27,4.6,4.6,1,1,13,-6.4,4.0
6,2025-03-23,2025-03-23,2.4,2.4,1,1,9,-57.9,9.0
7,2025-04-02,2025-04-02,3.8,3.8,1,7,6,-45.1,1.0
8,2025-04-10,2025-04-10,2.6,2.6,1,13,5,-22.9,2.0
9,2025-11-09,2025-11-09,9.8,9.8,1,4,5,-79.6,
10,2025-11-30,2025-12-02,7.4,5.4,2,11,14,-69.3,
11,2025-12-10,2025-12-10,10.0,10.0,1,2,14,-51.2,7.0
12,2025-12-23,2025-12-29,23.8,12.0,3,3,11,-92.6,
13,2026-01-05,2026-01-05,3.2,3.2,1,14,25,-85.7,12.0
14,2026-01-14,2026-01-16,25.6,20.2,3,12,29,-97.3,
15,2026-01-21,2026-01-25,53.400000000000006,46.2,3,10,117,-94.2,
16,2026-02-03,2026-02-06,9.4,6.8,2,1,82,-17.0,4.0
17,2026-02-10,2026-02-10,2.8,2.8,1,1,43,-43.8,9.0
18,2026-02-18,2026-02-18,6.8,6.8,1,1,18,-67.3,5.0
19,2026-02-24,2026-02-24,2.8,2.8,1,1,10,-1.3,6.0
20,2026-03-13,2026-03-13,5.6,5.6,1,0,4,-51.5,6.0
