lag,variable,coefficient,ci_low,ci_high,p_value
0,total_snow_cm,-443.8027872607084,-671.9593311232966,-215.64624339812025,0.00015678743254200327
1,snow_lag_1,-270.48435339534666,-496.2774762083154,-44.6912305823779,0.019040710799474767
2,snow_lag_2,-29.8853743324764,-257.60024733472505,197.82949866977225,0.7963933405194571
3,snow_lag_3,-37.68101782000057,-273.0130578460236,197.6510222060225,0.7529259742514459
4,snow_lag_4,115.00865855818535,-125.27555179993419,355.2928689163049,0.347028014999709
5,snow_lag_5,33.34319276928683,-204.965403093683,271.6517886322567,0.7832609843026068
6,snow_lag_6,-289.7624599793363,-549.5915371104609,-29.93338284821175,0.028954420710715363
7,snow_lag_7,-225.3694527550195,-489.2990858956586,38.56018038561962,0.09392935711092165
8,snow_lag_8,-78.02312027132571,-341.48845860218785,185.44221805953646,0.5605100595752998
9,snow_lag_9,-64.44747995161343,-338.36904091654236,209.47408101331547,0.6437243540758772
10,snow_lag_10,-59.875736491243686,-333.46954149766844,213.71806851518107,0.6670398156289371
11,snow_lag_11,3.6189663105703254,-280.9430924075221,288.18102502866276,0.9800516202465567
12,snow_lag_12,-96.16352861863766,-382.981704486232,190.65464724895668,0.509924507066907
13,snow_lag_13,-136.3101684694999,-407.4216053924659,134.8012684534661,0.3232813458358484
14,snow_lag_14,-76.71005345760919,-339.0062900376702,185.5861831224518,0.5653976454578942
