start_date,end_date,duration_days,total_rain_mm,total_snow_cm,type
2025-01-10,2025-01-10,1,0.0,5.2,snow
2025-01-28,2025-01-28,1,0.0,5.2,snow
2025-02-08,2025-02-08,1,0.0,12.6,snow
2025-02-12,2025-02-13,2,0.0,26.4,snow
2025-02-15,2025-02-16,2,0.4,25.0,snow
2025-03-05,2025-03-05,1,14.1,0.0,rain
2025-03-16,2025-03-16,1,22.1,0.0,rain
2025-04-02,2025-04-02,1,25.7,3.8,rain
2025-05-01,2025-05-01,1,11.6,0.0,rain
2025-05-16,2025-05-16,1,15.1,0.0,rain
2025-05-21,2025-05-22,2,28.6,0.0,rain
2025-06-18,2025-06-18,1,24.2,0.0,rain
2025-07-10,2025-07-10,1,12.7,0.0,rain
2025-07-13,2025-07-13,1,21.4,0.0,rain
2025-07-20,2025-07-20,1,48.1,0.0,rain
2025-08-17,2025-08-17,1,27.9,0.0,rain
2025-08-19,2025-08-19,1,15.4,0.0,rain
2025-09-04,2025-09-04,1,19.3,0.0,rain
2025-09-21,2025-09-23,3,73.0,0.0,rain
2025-10-30,2025-10-30,1,12.3,0.0,rain
2025-11-09,2025-11-09,1,0.0,9.8,snow
2025-11-30,2025-11-30,1,1.8,5.4,snow
2025-12-10,2025-12-10,1,0.2,10.0,snow
2025-12-23,2025-12-23,1,0.0,9.8,snow
2025-12-26,2025-12-26,1,0.0,12.0,snow
2025-12-28,2025-12-28,1,41.2,0.0,rain
