year,is_weekend,avg_daily_trips,total_trips
2016,False,4185.8,276263
2016,True,3526.8,91698
2017,False,5821.0,605389
2017,True,5274.4,221526
2018,False,5626.0,1468375
2018,True,4371.0,454580
2019,False,7040.3,1837508
2019,True,5788.5,602009
2020,False,7302.8,1913336
2020,True,9593.5,997723
2021,False,9155.6,2389616
2021,True,11399.7,1185566
2022,False,12460.9,2965700
2022,True,13758.1,1334540
2023,False,15961.4,4149977
2023,True,14887.3,1563164
2024,False,19601.0,5135455
2024,True,17477.3,1817639
2025,False,21691.0,5661339
2025,True,20684.4,2151181
2026,False,6620.8,423728
2026,True,4936.3,128345
