code,description,category,count_all,count_significant,mean_delay_min,median_delay_min,total_delay_min,p95_delay_min
MFDV,ON DIVERSION,Operations,4375,3994,126.86,70.5,506677,473.35
EFO,OTHER,Equipment,13324,12784,14.12,12.0,180507,29.0
TFCNO,NO OPERATOR AVAILABLE,Transportation,6092,5968,14.96,12.0,89281,30.0
TFO,OTHER - SWITCH VIOLATION,Transportation,3772,3428,17.55,16.0,60168,30.0
MFSH,USED AS SHUTTLE BUS,Operations,4543,4183,13.17,10.0,55073,25.0
TFPD,TTC COLLISION - PROPERTY DAMAGE,Transportation,4218,3579,14.25,11.0,50988,30.0
EFD,DOORS,Equipment,2549,2495,14.29,12.0,35651,30.0
MFSAN,UNSANITARY,Operations,1744,1710,15.98,15.0,27321,30.0
SFDP,DISORDERLY PATRON,Safety/Security,2254,1641,15.25,13.0,25031,30.0
MFVIS,VISION ISSUES,Operations,1671,1639,14.44,12.0,23659,30.0
MFWEA,WEATHER RELATED,Operations,736,364,56.49,20.0,20563,258.05
MFTO,ILL OPERATOR & NON CHARGEABLE OPERATOR ISSUES,Operations,1427,1271,15.88,14.0,20185,30.0
MFUS,UNABLE TO MAINTAIN SCHEDULE,Operations,3314,842,22.48,20.0,18931,30.0
MFUI,ILL CUSTOMER - TRANSPORTED,Operations,1576,1205,15.09,12.0,18180,30.0
EFB,BODY,Equipment,1309,1255,14.46,12.0,18143,30.0
EFP,PROPULSION,Equipment,1316,1246,14.09,12.0,17554,30.0
EFHVA,HEAT / VENT / AC,Equipment,1337,1300,13.39,12.0,17411,25.0
TFOI,ON BOARD INJURY,Transportation,1516,1139,14.29,12.0,16276,30.0
MFO,OTHER,Operations,1292,832,18.71,15.0,15569,30.0
SFO,OTHER,Safety/Security,1611,959,15.22,12.0,14598,30.0
MFPI,COLLISION/PERSONAL INJURY - TTC NOT INVOLVED,Operations,265,243,55.87,27.0,13577,226.9
EFRA,RAMP ISSUES,Equipment,724,710,14.16,12.0,10052,30.0
MFUIR,ILL CUSTOMER - TRANSPORTATION DECLINED,Operations,830,603,15.08,13.0,9096,30.0
SFPOL,HELD DUE TO POLICE INVESTIGATION,Safety/Security,215,151,26.97,15.0,4073,57.5
MFPR,HELD BY PARADES/MARCHES,Operations,48,29,119.45,73.0,3464,417.6
TFPI,TTC COLLISION - PERSONAL INJURY,Transportation,221,204,16.87,12.0,3442,30.0
SFAP,ASSAULT - PATRON,Safety/Security,295,224,15.08,12.0,3377,30.0
MFESA,NO OPERATOR AVAILABLE DUE TO ESA,Operations,153,148,15.6,15.0,2309,30.0
SFAE,ASSAULT - EMPLOYEE,Safety/Security,145,122,13.98,10.0,1706,30.0
MFS,FIRE / SMOKE,Operations,78,60,28.15,15.0,1689,110.45
SFSA,ASSAULT - SEXUAL,Safety/Security,36,25,12.68,10.0,317,23.6
TFLF,LATE ENTERING SERVICE - FIRST VEHICLE,Transportation,7,7,23.14,20.0,162,37.0
MFFD,FARE DISPUTE,Operations,6,5,19.0,23.0,95,29.0
TFLL,LATE VEHICLE - ROUTE,Transportation,1,1,30.0,30.0,30,30.0
EFCAN,CANCELLATION,Equipment,2,2,10.0,10.0,20,10.0
PFO,OTHER,Infrastructure,15,1,18.0,18.0,18,18.0
PFPD,TTC COLLISION - PROPERTY DAMAGE,Infrastructure,10,1,5.0,5.0,5,5.0
