month_label,total_events,significant_delays,total_delay_min,mean_delay_min,median_delay_min,pct_equipment,pct_operations,pct_infrastructure,pct_safety_security,pct_transportation
2025-01,112,103,2869,27.854368932038835,10.0,0.06866504008365285,0.7730916695712792,0.0,0.0582084349947717,0.10003485535029627
2025-02,174,152,3424,22.526315789473685,10.0,0.1314252336448598,0.709696261682243,0.0,0.04293224299065421,0.115946261682243
2025-03,146,141,8087,57.354609929078016,10.0,0.0694942500309138,0.8488932855199703,0.0,0.018424632125633732,0.06318783232348213
2025-04,176,141,6188,43.88652482269504,10.0,0.04654169360051713,0.8619909502262444,0.0,0.010665804783451843,0.08080155138978669
2025-05,168,125,6542,52.336,12.0,0.04631611128095384,0.8868847447263833,0.0,0.014368694588810762,0.05243044940385203
2025-06,201,168,5075,30.208333333333332,10.0,0.10975369458128079,0.7536945812807881,0.0,0.025221674876847292,0.11133004926108374
2025-07,137,114,1772,15.543859649122806,8.0,0.18961625282167044,0.6049661399548533,0.0,0.06602708803611738,0.13939051918735892
2025-08,180,149,2175,14.59731543624161,8.0,0.15172413793103448,0.5788505747126437,0.0,0.05471264367816092,0.21471264367816092
2025-09,194,179,2022,11.296089385474861,8.0,0.228486646884273,0.43471810089020774,0.0,0.03165182987141444,0.30514342235410485
2025-10,161,141,1611,11.425531914893616,8.0,0.1973929236499069,0.40471756672873993,0.0,0.029174425822470516,0.3687150837988827
2025-11,146,127,1649,12.984251968503937,8.0,0.18981200727713765,0.4275318374772589,0.0,0.016979987871437233,0.36567616737416614
2025-12,180,161,2889,17.944099378881987,10.0,0.23052959501557632,0.5482866043613707,0.0,0.03842159916926272,0.18276220145379024
2026-01,202,183,3102,16.950819672131146,10.0,0.2856221792392005,0.46260477111540943,0.0,0.10219213410702772,0.14958091553836234
2026-02,139,129,1752,13.581395348837209,10.0,0.4263698630136986,0.24029680365296804,0.0,0.05136986301369863,0.2819634703196347
2026-03,143,133,2336,17.56390977443609,8.0,0.17893835616438356,0.5967465753424658,0.0,0.023972602739726026,0.20034246575342465
2026-04,125,111,1221,11.0,8.0,0.30794430794430794,0.3521703521703522,0.0,0.07616707616707617,0.26371826371826373
